Name,Description,Link,Quantity,Unit Price,Total Price,Running Total
23HS5628,Nema 23 Stepper Motor,Nema 23 Stepper Motor 1.26Nm 56mm Body Length 2.8A 23HS5628 Stepper 178.04oz.in Nema23 Motor 6.35mm Shaft for CNC Router - AliExpress,1,$19.28,$19.28,$19.28
TB6600,Stepper Motor Driver,https://www.aliexpress.com/item/3256806428517102.html?spm=a2g0o.cart.0.0.5c1038da1SJwI5&mp=1&pdp_npi=5%40dis%21USD%21USD%2017.24%21USD%208.27%21%21USD%208.27%21%21%21%402101e2b017654181016302805e9717%2112000037828223847%21ct%21US%216874649993%21%211%210,1,$17.24,$17.24,$36.52
LUJINXUN 30mmIDx50mmL\,Band Heater,https://www.aliexpress.us/item/3256808522427468.html?spm=a2g0o.detail.0.0.792467fdPLrc6P&mp=1&pdp_npi=5%40dis%21USD%21USD%2019.87%21USD%2016.09%21%21USD%2016.09%21%21%21%402101d6ff17653220409631998eb310%2112000046354970299%21ct%21US%216874649993%21%211%210&gatewayAdapt=glo2usa,1,$16.09,$16.09,$52.61
460mm x 25mm HSS Drill Bit,Auger Bit ,1PC 230mm 300mm 350mm 460mm HSS Twist Drill Bits 6mm-25mm Metal Steel Center Drill for Wood Door Lock Reaming Woodworking Tools - AliExpress,1,$13.29,$13.29,$65.90
304 Stainless Steel pipe 500mm 28ODx25ID,Steel Pipe,https://www.aliexpress.com/item/3256804686578512.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%2012.37%21USD%2011.38%21%21USD%2011.38%21%21%21%402101d6ff17653220269651658eb310%2112000030838763203%21ct%21US%216874649993%21%211%210,1,$11.38,$11.38,$77.28
Diymore 2M Thermocouple,K Type Thermocouple,Diymore K Type Thermocouple Cable M6 1M 2M Screw Temperature Sensor Probe 0-800 C For REX-C100 Temperature Controller Thermostat - AliExpress,1,$0.99,$0.99,$78.27
MAX6675,Thermocouple Amplifier,MAX31855 MAX6675 type thermocouple temperature sensor module Senso Temperature Degrees Module for arduino - AliExpress,1,$2.03,$2.03,$80.30
Nema 17 Pancake,Stepper Motor,Usongshine Nema17 Stepper Motor 17HS4023 42BGYH 4-lead 1.0A 13N.cm For CNC Laser Engraving machine 3D Printer - AliExpress,2,$5.41,$10.82,$91.12
9025 12V Cooling Fan,Cooling Fan,4010 12025 8010 30mm dc 5V 12V 24V Cooling Fan Brushless Motor Case Quiet 40MM 50MM 60MM 70MM 80MM 90MM 120MM for 3D print 2PIN - AliExpress,4,$3.82,$15.28,$106.40
DRV8825,Stepper Motor Driver,Reprap Stepper Driver A4988 DRV8825 Stepper Motor Driver Module +Heat Sink For 3D Printer - AliExpress,2,$1.70,$3.40,$109.80
DRV8825 Shield,Shield for the Driver,DRV8825 A4988 3D Printer 42 Stepper Motor Driver Controller Expansion Shield Module for Arduin R3 Ramps1.4 DC Motor Drivers - AliExpress,2,$1.26,$2.52,$112.32
Refrigator Neodymium Magnets,20x1mm Magnet,"20x1mm Refrigerator Neodymium Magnets, Whiteboard Magnets, Arts and Crafts Magnets, Small Magnets, Mini Magnets, Office Magnets - AliExpress",1,$2.63,$2.63,$114.95
SS49E,Hall Effect Sensor,10/20/50/100/1000pcs 49E Hall element SS49E OH49E Hall sensor Hall Effect Sensor - AliExpress,1,$1.59,$1.59,$116.54
Deep Groove Ball Bearing,15ODx6IDx5Wmm Bearing,JLC Mechatronic Parts,3,$0.12,$0.35,$116.89
Deep Groove Ball Bearing Open Type,28ODx15IDx7Wmm Bearing,JLC Mechatronic Parts,2,$0.26,$0.53,$132.93
Hex Nut,"1/2""-13","Grip Fast® 1/2""-13 Hot-Dipped Galvanized Grade 2 Coarse Thread Hex Nut - 18 Count at Menards®",1,$2.19,$2.19,$119.61
Bolt,"1/2""-13 4-1/2""","Grip Fast® 1/2""-13 x 4-1/2"" Grade 2 Galvanized Steel Hex Bolt - 2 Count at Menards®",1,$3.99,$3.99,$123.60
Arduino Uno R3,Microcontroller,UNO R3 CH340G+MEGA328P SMD Chip 16Mhz For Arduino UNO R3 Development Board USB CABLE ATEGA328P One Set - AliExpress,1,$5.12,$5.12,$128.72
Solid State Relay,3-32VDC - 24-380VAC 10A SSR,10A SSR 25A Solid State Relay 40A Output 3-32VDC 24-480VAC 220V Single Phase DC TO AC 40A Relay SSR HeatSink SSR 40DA - AliExpress,1,$4.21,$4.21,$132.93
