Name,Description,Link,Quantity,Unit Price,Total Price,Running Total
23HS5628,Nema 23 Stepper Motor,https://www.aliexpress.com/item/2255800858317364.html?spm=a2g0o.cart.0.0.5c1038da1SJwI5&mp=1&pdp_npi=5%40dis%21USD%21USD%2028.36%21USD%2019.28%21%21USD%2019.28%21%21%21%402101e2b017654181733964625e9717%2110000013820578079%21ct%21US%216874649993%21%211%210,1,$19.28,$19.28,$19.28
TB6600,Stepper Motor Driver,https://www.aliexpress.com/item/3256806428517102.html?spm=a2g0o.cart.0.0.5c1038da1SJwI5&mp=1&pdp_npi=5%40dis%21USD%21USD%2017.24%21USD%208.27%21%21USD%208.27%21%21%21%402101e2b017654181016302805e9717%2112000037828223847%21ct%21US%216874649993%21%211%210,1,$17.24,$17.24,$36.52
LUJINXUN 30mmIDx50mmL\,Band Heater,https://www.aliexpress.us/item/3256808522427468.html?spm=a2g0o.detail.0.0.792467fdPLrc6P&mp=1&pdp_npi=5%40dis%21USD%21USD%2019.87%21USD%2016.09%21%21USD%2016.09%21%21%21%402101d6ff17653220409631998eb310%2112000046354970299%21ct%21US%216874649993%21%211%210&gatewayAdapt=glo2usa,1,$16.09,$16.09,$52.61
460mm x 25mm HSS Drill Bit,Auger Bit ,https://www.aliexpress.com/item/3256809045870858.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%2026.58%21USD%2013.29%21%21USD%2013.29%21%21%21%402101d6ff17653220315061766eb310%2112000048411077208%21ct%21US%216874649993%21%211%210,1,$13.29,$13.29,$65.90
304 Stainless Steel pipe 500mm 28ODx25ID,Steel Pipe,https://www.aliexpress.com/item/3256804686578512.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%2012.37%21USD%2011.38%21%21USD%2011.38%21%21%21%402101d6ff17653220269651658eb310%2112000030838763203%21ct%21US%216874649993%21%211%210,1,$11.38,$11.38,$77.28
Diymore 2M Thermocouple,K Type Thermocouple,https://www.aliexpress.com/item/3256803590149046.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%202.66%21USD%200.99%21%21USD%200.99%21%21%21%402101d6ff17653220269651658eb310%2112000027127644315%21ct%21US%216874649993%21%211%210,1,$0.99,$0.99,$78.27
MAX6675,Thermocouple Amplifier,https://www.aliexpress.com/item/2251801716660437.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%202.03%21USD%202.03%21%21USD%202.03%21%21%21%402101d6ff17653220269651658eb310%2112000020465016757%21ct%21US%216874649993%21%211%210,1,$2.03,$2.03,$80.30
Nema 17 Pancake,Stepper Motor,https://www.aliexpress.com/item/3256803688622110.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%205.64%21USD%205.41%21%21USD%205.41%21%21%21%402101d6ff17653220315061766eb310%2112000036219123370%21ct%21US%216874649993%21%212%210,2,$5.41,$10.82,$91.12
9025 12V Cooling Fan,Cooling Fan,https://www.aliexpress.com/item/3256806120222119.html?spm=a2g0o.cart.0.0.683838da2cZMRF&mp=1&pdp_npi=5%40dis%21USD%21USD%203.82%21USD%203.82%21%21USD%203.71%21%21%21%402101d6ff17653220269651658eb310%2112000039933888013%21ct%21US%216874649993%21%213%210,4,$3.82,$15.28,$106.40
DRV8825,Stepper Motor Driver,https://www.aliexpress.com/item/3256807121961521.html?mp=1&pdp_npi=5%40dis%21USD%21USD%203.40%21USD%201.70%21%21USD%201.70%21%21%21%402101e2b017654181016302805e9717%2112000052527519164%21ct%21US%216874649993%21%212%210,2,$1.70,$3.40,$109.80
